epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1765,1.29236,1.08077,0.98695,0.67672,0.78709,0.75974,0.47719,1.37985,1.10407,1.08615,2.5e-05,2.5e-05,2.5e-05
2,61.5749,1.25837,1.00701,0.98211,0.67315,0.72696,0.742,0.46083,1.40557,1.12256,1.1033,5.34656e-05,5.34656e-05,5.34656e-05
3,88.0678,1.26337,1.02828,1.00211,0.64883,0.75659,0.73742,0.46632,1.36219,1.15329,1.08773,7.88375e-05,7.88375e-05,7.88375e-05
4,115.24,1.25935,1.00728,0.96878,0.6865,0.708,0.74023,0.46308,1.36875,1.1743,1.0903,0.000101116,0.000101116,0.000101116
5,142.096,1.23199,0.9836,0.9789,0.68202,0.72536,0.73944,0.46202,1.38752,1.19959,1.09783,0.0001203,0.0001203,0.0001203
6,168.612,1.2221,0.97064,0.9721,0.65627,0.75862,0.75045,0.4749,1.36744,1.17433,1.08597,0.000136391,0.000136391,0.000136391
7,195.141,1.22325,0.94885,0.98053,0.69501,0.79824,0.78172,0.49974,1.34548,1.07449,1.06803,0.000149387,0.000149387,0.000149387
8,222.437,1.23979,0.98161,0.95772,0.71413,0.80606,0.79909,0.50903,1.35314,1.01539,1.06959,0.000159291,0.000159291,0.000159291
9,249.43,1.24226,0.93124,0.98511,0.69245,0.78749,0.80287,0.50811,1.36887,1.00425,1.07469,0.0001661,0.0001661,0.0001661
10,275.796,1.23369,0.87997,1.00122,0.67279,0.80469,0.7995,0.51068,1.34963,1.01441,1.06314,0.000169816,0.000169816,0.000169816
11,300.524,1.18886,0.90206,1.00368,0.70362,0.74902,0.78064,0.48607,1.41109,1.09254,1.08286,0.000170438,0.000170438,0.000170438
12,325.7,1.21276,0.88405,0.99626,0.67901,0.76709,0.7773,0.48852,1.4083,1.14225,1.08294,0.000167966,0.000167966,0.000167966
13,350.343,1.18021,0.88289,0.99513,0.71564,0.7473,0.79026,0.50092,1.37406,1.10655,1.07178,0.0001624,0.0001624,0.0001624
14,374.564,1.18478,0.85357,0.99914,0.66873,0.83285,0.81296,0.52289,1.34389,1.02066,1.06435,0.000153741,0.000153741,0.000153741
15,399.002,1.1544,0.80734,0.99695,0.69343,0.81217,0.82093,0.53304,1.33168,0.99394,1.06124,0.000141988,0.000141988,0.000141988
16,424.73,1.16523,0.82656,0.99285,0.70935,0.82365,0.82118,0.52993,1.33177,0.98475,1.05962,0.000127141,0.000127141,0.000127141
17,449.741,1.15517,0.79158,1.00486,0.72622,0.8264,0.82435,0.53252,1.32877,0.98003,1.05823,0.0001092,0.0001092,0.0001092
18,474.796,1.16671,0.83759,0.98731,0.71772,0.83373,0.82981,0.53555,1.325,0.97484,1.05785,8.81656e-05,8.81656e-05,8.81656e-05
19,500.302,1.19166,0.87634,0.96992,0.71999,0.83256,0.82896,0.53567,1.32257,0.97114,1.05797,6.40375e-05,6.40375e-05,6.40375e-05
20,525.158,1.16309,0.80328,0.99492,0.73505,0.81706,0.82691,0.53527,1.32366,0.96985,1.05975,3.68156e-05,3.68156e-05,3.68156e-05
