epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9523,0.57793,0.68026,1.24022,1.04717,0.9483,1,0.97333,0.8479,0.9483,1,0.97333,0.943,0.58872,0.42655,1.80314,1.20706,0.00034,0.00034,0.00034
2,68.3328,0.54186,0.55012,0.94993,1.01955,0.91091,1,0.98958,0.81726,0.91091,1,0.98958,0.94147,0.5954,0.41117,2.77732,1.25506,0.00068614,0.00068614,0.00068614
3,103.201,0.55503,0.49369,0.98227,1.0106,0.84089,1,0.96542,0.84077,0.84089,1,0.96542,0.95766,0.57989,0.26401,1.67068,1.17432,0.00101802,0.00101802,0.00101802
4,136.249,0.56357,0.49826,0.86343,1.01704,0.91022,1,0.98625,0.89883,0.91022,1,0.98625,0.97757,0.52264,0.27457,2.09858,1.19299,0.00133565,0.00133565,0.00133565
5,169.748,0.53674,0.4135,0.89809,1.0383,0.92106,1,0.99167,0.50432,0.92106,1,0.99167,0.93756,1.4441,0.35972,3.24591,2.91927,0.00163902,0.00163902,0.00163902
6,203.639,0.63453,0.39249,1.15873,1.12262,0.67604,0.52174,0.72153,0.53314,0.67604,0.52174,0.72153,0.66142,0.83384,0.44909,2.60092,1.58596,0.001802,0.001802,0.001802
7,237.689,0.59231,0.41289,1.14012,1.03896,0.58598,1,0.98625,0.68963,0.58598,1,0.98625,0.93746,0.70619,0.33069,7.23543,1.68671,0.0017624,0.0017624,0.0017624
8,271.012,0.57533,0.42142,1.03453,1.04533,0.91758,0.96846,0.9827,0.73877,0.91758,0.96846,0.9827,0.88793,0.74203,0.73518,2.7081,1.63272,0.0017228,0.0017228,0.0017228
9,304.375,0.53622,0.35553,0.93011,1.01173,0.95747,0.97938,0.98625,0.76328,0.95747,0.97938,0.98625,0.982,0.76582,0.32598,1.57876,1.4709,0.0016832,0.0016832,0.0016832
10,337.93,0.54456,0.37121,0.87433,1.01732,0.95557,1,0.97167,0.85284,0.95557,1,0.97167,0.96383,0.55075,0.37614,1.32373,1.13997,0.0016436,0.0016436,0.0016436
11,372.289,0.5287,0.31943,0.82276,1.00663,0.95486,1,0.97542,0.8874,0.95486,1,0.97542,0.97542,0.51068,0.18595,1.18795,1.10136,0.001604,0.001604,0.001604
12,406.239,0.48271,0.28802,0.76169,0.99658,0.95491,1,0.97,0.88157,0.95491,1,0.97,0.97,0.41851,0.1837,1.16516,1.0093,0.0015644,0.0015644,0.0015644
13,439.696,0.44883,0.2961,0.73789,0.95379,0.95382,1,0.98958,0.86328,0.95382,1,0.98958,0.98538,0.55695,0.20428,1.32479,1.15329,0.0015248,0.0015248,0.0015248
14,473.511,0.49009,0.3471,0.7032,0.97458,0.95566,1,0.98083,0.86582,0.95566,1,0.98083,0.97308,0.46985,0.26597,1.10264,1.02008,0.0014852,0.0014852,0.0014852
15,507.082,0.41957,0.2937,0.63699,0.92428,0.95616,1,0.9825,0.88409,0.95616,1,0.9825,0.9825,0.48011,0.21078,1.02708,1.05897,0.0014456,0.0014456,0.0014456
16,540.517,0.45101,0.32814,0.66011,0.95894,0.95614,1,0.98958,0.8784,0.95614,1,0.98958,0.98574,0.51173,0.22403,1.00924,1.09596,0.001406,0.001406,0.001406
17,573.568,0.42196,0.27224,0.66524,0.95901,0.95611,1,0.99167,0.90799,0.95611,1,0.99167,0.99167,0.41422,0.21283,0.95351,0.99966,0.0013664,0.0013664,0.0013664
18,607.02,0.44842,0.31464,0.66233,0.95551,0.9559,1,0.99333,0.9102,0.9559,1,0.99333,0.99333,0.39124,0.18308,0.9032,0.96888,0.0013268,0.0013268,0.0013268
19,640.683,0.41204,0.28231,0.63088,0.93222,0.95566,1,0.99333,0.95369,0.95566,1,0.99333,0.99333,0.34929,0.16132,0.84707,0.93772,0.0012872,0.0012872,0.0012872
20,674.407,0.38211,0.26981,0.58555,0.92778,0.95606,1,0.99167,0.92053,0.95606,1,0.99167,0.99167,0.3987,0.16421,0.84386,0.97847,0.0012476,0.0012476,0.0012476
21,708.399,0.39183,0.28685,0.59279,0.94483,0.95619,1,0.9825,0.92403,0.95619,1,0.9825,0.9825,0.37483,0.17755,0.78999,0.957,0.001208,0.001208,0.001208
22,741.966,0.38855,0.27192,0.56619,0.92628,0.95613,1,0.97167,0.91621,0.95613,1,0.97167,0.97167,0.34141,0.1683,0.77962,0.91946,0.0011684,0.0011684,0.0011684
23,776.185,0.34608,0.25225,0.52121,0.91654,0.95606,1,0.96625,0.9016,0.95606,1,0.96625,0.96625,0.34046,0.16662,0.80175,0.92939,0.0011288,0.0011288,0.0011288
24,809.975,0.39567,0.32414,0.53773,0.93633,0.95626,1,0.98958,0.93699,0.95626,1,0.98958,0.98958,0.30056,0.18214,0.75419,0.88936,0.0010892,0.0010892,0.0010892
25,843.595,0.38155,0.2806,0.53175,0.93875,0.95616,1,0.98958,0.9573,0.95616,1,0.98958,0.98958,0.27218,0.18592,0.70384,0.86379,0.0010496,0.0010496,0.0010496
26,877.109,0.36757,0.29371,0.52045,0.89819,0.95615,1,0.98958,0.97312,0.95615,1,0.98958,0.98958,0.27396,0.18249,0.67107,0.86258,0.00101,0.00101,0.00101
27,911.243,0.3694,0.29715,0.52742,0.92004,0.95624,1,0.98958,0.94741,0.95624,1,0.98958,0.98958,0.32831,0.17014,0.7156,0.90109,0.0009704,0.0009704,0.0009704
28,944.761,0.35981,0.26378,0.53083,0.91653,0.96812,1,0.995,0.97449,0.96812,1,0.995,0.995,0.27693,0.17013,0.67033,0.85976,0.0009308,0.0009308,0.0009308
29,978.485,0.35874,0.31157,0.51058,0.90668,0.97633,1,0.995,0.9722,0.97633,1,0.995,0.995,0.28302,0.16836,0.69714,0.86611,0.0008912,0.0008912,0.0008912
30,1012.52,0.39288,0.31637,0.51322,0.9201,0.95744,1,0.995,0.97001,0.95744,1,0.995,0.995,0.29754,0.16843,0.69223,0.89084,0.0008516,0.0008516,0.0008516
31,1046.18,0.32916,0.2732,0.49608,0.91786,0.95743,1,0.995,0.96998,0.95743,1,0.995,0.995,0.28661,0.16858,0.68015,0.87921,0.000812,0.000812,0.000812
32,1079.71,0.33947,0.27962,0.50054,0.91154,0.95683,1,0.995,0.99101,0.95683,1,0.995,0.995,0.24734,0.15965,0.66163,0.84353,0.0007724,0.0007724,0.0007724
33,1113.14,0.31094,0.24796,0.45626,0.89566,0.95623,1,0.99333,0.98951,0.95623,1,0.99333,0.99333,0.24414,0.1532,0.66859,0.83887,0.0007328,0.0007328,0.0007328
34,1146.8,0.33748,0.28225,0.49665,0.92163,0.9566,1,0.995,0.98493,0.9566,1,0.995,0.995,0.25194,0.1529,0.65085,0.83883,0.0006932,0.0006932,0.0006932
35,1182.27,0.32651,0.24632,0.47253,0.91655,0.95614,1,0.9825,0.95087,0.95614,1,0.9825,0.9825,0.30867,0.16154,0.67427,0.88155,0.0006536,0.0006536,0.0006536
36,1216.37,0.31496,0.25428,0.44788,0.89742,0.95624,1,0.98958,0.98958,0.95624,1,0.98958,0.98958,0.29301,0.16431,0.64936,0.86875,0.000614,0.000614,0.000614
37,1249.63,0.31464,0.22882,0.4547,0.88981,0.95628,1,0.98792,0.97176,0.95628,1,0.98792,0.98792,0.24643,0.16413,0.61035,0.83582,0.0005744,0.0005744,0.0005744
38,1287.36,0.29881,0.24775,0.45114,0.89473,0.95627,1,0.99167,0.98707,0.95627,1,0.99167,0.99167,0.23073,0.16536,0.5645,0.81696,0.0005348,0.0005348,0.0005348
39,1324.02,0.27675,0.25743,0.43324,0.88968,0.95629,1,0.98958,0.98958,0.95629,1,0.98958,0.98958,0.21297,0.16533,0.57808,0.80624,0.0004952,0.0004952,0.0004952
40,1358.03,0.288,0.23852,0.42876,0.89208,0.95622,1,0.98792,0.98792,0.95622,1,0.98792,0.98792,0.21019,0.16833,0.55952,0.81743,0.0004556,0.0004556,0.0004556
