epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1391.62,0.24388,0.19139,0.64035,0.846,0.95623,1,0.99167,0.99167,0.95623,1,0.99167,0.99167,0.20419,0.17356,0.55815,0.81127,0.000416,0.000416,0.000416
42,1424.09,0.22744,0.17571,0.60202,0.85281,0.95626,1,0.99167,0.99167,0.95626,1,0.99167,0.99167,0.20895,0.17189,0.59853,0.80823,0.0003764,0.0003764,0.0003764
43,1458.57,0.23743,0.18318,0.62888,0.88078,0.95621,1,0.99167,0.99167,0.95621,1,0.99167,0.99167,0.21817,0.15579,0.69148,0.80753,0.0003368,0.0003368,0.0003368
44,1492.12,0.21906,0.16679,0.64563,0.89636,0.95622,1,0.99167,0.98767,0.95622,1,0.99167,0.99167,0.22032,0.15214,0.68625,0.8112,0.0002972,0.0002972,0.0002972
45,1524.53,0.21599,0.17089,0.63731,0.84769,0.95626,1,0.98958,0.98538,0.95626,1,0.98958,0.98958,0.23433,0.15052,0.66382,0.8224,0.0002576,0.0002576,0.0002576
46,1561.02,0.20367,0.17428,0.58629,0.8466,0.95625,1,0.99167,0.97919,0.95625,1,0.99167,0.99167,0.23746,0.15048,0.65042,0.82744,0.000218,0.000218,0.000218
47,1596.04,0.22258,0.16797,0.58306,0.89433,0.95622,1,0.99167,0.97882,0.95622,1,0.99167,0.99167,0.23182,0.15065,0.63694,0.82507,0.0001784,0.0001784,0.0001784
48,1628.75,0.20483,0.16768,0.5444,0.83421,0.95624,1,0.99167,0.98277,0.95624,1,0.99167,0.99167,0.23088,0.15063,0.63756,0.82702,0.0001388,0.0001388,0.0001388
49,1661.87,0.19776,0.16864,0.55165,0.80546,0.95623,1,0.98792,0.98322,0.95623,1,0.98792,0.98792,0.23461,0.15015,0.64322,0.82919,9.92e-05,9.92e-05,9.92e-05
50,1694.59,0.18537,0.17224,0.53142,0.8041,0.95622,1,0.98625,0.9813,0.95622,1,0.98625,0.98625,0.23873,0.14981,0.64756,0.83152,5.96e-05,5.96e-05,5.96e-05
