epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.913,2.22158,3.53009,1.38998,0.04857,0.09549,0.04624,0.01731,2.29299,3.59503,1.56207,2.5e-05,2.5e-05,2.5e-05
2,63.2133,2.00951,3.2325,1.2973,0.06247,0.15563,0.06653,0.03553,1.93155,3.26112,1.36728,5.43937e-05,5.43937e-05,5.43937e-05
3,89.9455,1.89111,2.73479,1.26934,0.09439,0.30541,0.11292,0.06187,1.80445,2.85889,1.32502,8.1725e-05,8.1725e-05,8.1725e-05
4,116.741,1.76329,2.35779,1.16884,0.1344,0.3787,0.15067,0.08056,1.74977,2.68273,1.29968,0.000106994,0.000106994,0.000106994
5,143.034,1.65306,2.15402,1.1478,0.1888,0.41432,0.20427,0.1091,1.69416,2.53746,1.25659,0.0001302,0.0001302,0.0001302
6,169.388,1.5851,1.98443,1.10792,0.2574,0.4082,0.25633,0.14035,1.65415,2.50225,1.23622,0.000151344,0.000151344,0.000151344
7,196.08,1.52483,1.71693,1.10005,0.31472,0.493,0.34214,0.1943,1.56495,2.57031,1.19356,0.000170425,0.000170425,0.000170425
8,225.02,1.5132,1.69914,1.05827,0.33964,0.49306,0.38832,0.22114,1.53933,2.63368,1.17546,0.000187444,0.000187444,0.000187444
9,251.894,1.48686,1.57283,1.07566,0.35609,0.59798,0.43016,0.24769,1.51635,2.64617,1.16354,0.0002024,0.0002024,0.0002024
10,278.707,1.41862,1.4406,1.07851,0.42515,0.62602,0.48227,0.27777,1.51096,2.28334,1.16062,0.000215294,0.000215294,0.000215294
11,306.705,1.39885,1.44716,1.06008,0.48519,0.60759,0.52163,0.31381,1.45881,2.01329,1.13685,0.000226125,0.000226125,0.000226125
12,333.24,1.42297,1.4275,1.05797,0.51574,0.56302,0.53341,0.30965,1.51549,1.90245,1.14887,0.000234894,0.000234894,0.000234894
13,363.117,1.39857,1.37196,1.03431,0.50887,0.55502,0.53812,0.30707,1.54709,1.82357,1.15972,0.0002416,0.0002416,0.0002416
14,391.297,1.35587,1.30462,1.0102,0.50698,0.59414,0.55623,0.32722,1.49375,1.6029,1.14146,0.000246244,0.000246244,0.000246244
15,419.16,1.36533,1.29028,1.01545,0.52027,0.6887,0.60361,0.36268,1.44657,1.43153,1.1195,0.000248825,0.000248825,0.000248825
16,448.747,1.36017,1.24698,1.01945,0.5197,0.71701,0.62479,0.38095,1.43723,1.38123,1.11646,0.000249344,0.000249344,0.000249344
17,478.182,1.32071,1.15213,1.00953,0.57979,0.69381,0.65484,0.4039,1.43014,1.28611,1.11516,0.0002478,0.0002478,0.0002478
18,506.647,1.33043,1.18178,1.02523,0.6004,0.71888,0.67114,0.41267,1.42599,1.23681,1.11466,0.000244194,0.000244194,0.000244194
19,535.567,1.31143,1.12892,1.0069,0.60491,0.74619,0.68168,0.41805,1.42694,1.20273,1.11444,0.000238525,0.000238525,0.000238525
20,565.105,1.30724,1.11868,1.01412,0.60553,0.76273,0.70165,0.43491,1.40734,1.18817,1.10334,0.000230794,0.000230794,0.000230794
21,592.566,1.26555,1.13151,1.01399,0.61793,0.74259,0.70134,0.43805,1.40029,1.20891,1.09895,0.0002125,0.0002125,0.0002125
22,620.282,1.23306,1.04913,1.01184,0.63472,0.73092,0.69901,0.43468,1.40221,1.23798,1.09726,0.000191875,0.000191875,0.000191875
23,648.221,1.23297,1.05027,1.01473,0.64574,0.70392,0.70049,0.43913,1.40149,1.2642,1.09657,0.00017125,0.00017125,0.00017125
24,677.008,1.24369,1.04806,1.00171,0.62012,0.7378,0.72269,0.45894,1.38614,1.25022,1.08904,0.000150625,0.000150625,0.000150625
25,703.947,1.21068,0.9743,1.01217,0.61586,0.75462,0.73393,0.46551,1.38485,1.22758,1.08746,0.00013,0.00013,0.00013
26,730.623,1.22877,1.01568,1.01207,0.61882,0.77887,0.7383,0.46853,1.38123,1.20397,1.08521,0.000109375,0.000109375,0.000109375
27,757.418,1.22258,0.96402,0.99053,0.62397,0.79727,0.74449,0.47113,1.3801,1.17321,1.08311,8.875e-05,8.875e-05,8.875e-05
28,784.29,1.23235,0.95989,1.0398,0.65646,0.75581,0.75081,0.47354,1.37613,1.14021,1.08099,6.8125e-05,6.8125e-05,6.8125e-05
29,810.199,1.20134,0.9344,1.00729,0.65924,0.76592,0.75299,0.47416,1.37362,1.13273,1.08031,4.75e-05,4.75e-05,4.75e-05
30,837.395,1.19386,0.89507,0.99669,0.66276,0.76861,0.75383,0.4744,1.37138,1.12686,1.07983,2.6875e-05,2.6875e-05,2.6875e-05
